Date,Day_of_Week,Month,Semester_Status,Students_On_Campus,Staff_On_Campus,Temperature_C,Humidity_Percent,Rainfall_mm,Water_Tank_Level_Start_Liters,Water_Usage_Liters,Water_Pumped_Liters,Energy_Used_for_Pumping_kWh,Leak_Events,Special_Event,Predicted_Water_Demand_Liters
9/19/2025,Friday,9,Semester,5249,670,27,85,3.1,114210,180995,183107,362.1,0,,180503
9/20/2025,Saturday,9,Semester,2438,320,28.6,65,7.8,87444,128123,129203,266.8,0,,126904
9/21/2025,Sunday,9,Semester,2394,319,25.8,74,5.9,134535,126357,128855,257.5,0,Sports_Event,124235
9/22/2025,Monday,9,Semester,5229,477,28.1,80,21.7,100858,180424,180284,366.8,0,,180222
9/23/2025,Tuesday,9,Semester,4666,693,27.6,77,15.3,114111,175362,179823,363.5,0,,176283
9/24/2025,Wednesday,9,Semester,5157,465,28.3,84,5.4,172567,180407,177419,343.1,0,,182785
9/25/2025,Thursday,9,Semester,4853,483,26.7,90,3.4,123150,175605,175722,369.2,0,,175207
9/26/2025,Friday,9,Semester,5118,498,32.7,68,3.8,97711,183637,184274,362.8,0,,182266
9/27/2025,Saturday,9,Semester,2750,305,29.6,87,11.4,117170,135400,136132,268,0,Sports_Event,136609
9/28/2025,Sunday,9,Semester,2169,377,30,75,7.2,137404,127376,131407,268.3,0,,122158
9/29/2025,Monday,9,Semester,4766,617,26.7,70,6.8,113305,174634,177968,351.1,0,Orientation,175778
9/30/2025,Tuesday,9,Semester,3900,580,27.7,89,43.9,115015,152181,172796,347.4,0,,153451
10/1/2025,Wednesday,10,Semester,6000,453,32.3,52,0.2,137183,193493,195040,385.5,0,,194316
10/2/2025,Thursday,10,Semester,4393,680,27,43,12.9,165727,166731,169218,334.9,0,,168444
10/3/2025,Friday,10,Semester,5739,605,29.7,55,11.9,162396,191065,191257,383.2,0,,191695
10/4/2025,Saturday,10,Semester,2465,358,31.9,64,3.1,138283,134265,149820,291.8,0,,136455
10/5/2025,Sunday,10,Semester,2941,325,27.4,38,3.4,120188,137072,152339,307.3,0,,134202
10/6/2025,Monday,10,Semester,5034,380,27.5,38,8.7,150618,178912,182209,365.8,0,Festival,176539
10/7/2025,Tuesday,10,Semester,5698,694,27.4,66,2.5,102342,192000,193260,396.3,0,,191352
10/8/2025,Wednesday,10,Semester,5141,574,23.4,57,5.4,149508,174589,174775,347.6,0,,176867
10/9/2025,Thursday,10,Semester,5042,721,25.9,60,13.8,134995,185936,204150,395.1,0,,183535
10/10/2025,Friday,10,Semester,4950,627,25.2,79,1,133722,176090,178725,374.1,0,,176734
10/11/2025,Saturday,10,Semester,2127,363,27.6,35,0.4,108490,125161,126708,257.9,0,,121822
10/12/2025,Sunday,10,Semester,2645,300,30.7,50,13.7,75892,132424,136154,268.2,0,,128625
10/13/2025,Monday,10,Semester,3867,583,29.4,67,13.9,118420,156434,155079,311.7,0,,157557
10/14/2025,Tuesday,10,Semester,4796,622,21.8,48,1.4,134014,173704,178289,360.6,0,Orientation,171297
10/15/2025,Wednesday,10,Semester,4917,668,28.4,49,3.5,135605,172919,176634,356.7,0,,175912
10/16/2025,Thursday,10,Semester,4451,563,27.3,47,4.3,158933,172804,174555,343.7,1,,173597
10/17/2025,Friday,10,Semester,4866,612,26.7,39,5.6,138039,177751,194367,390.5,0,,179482
10/18/2025,Saturday,10,Semester,2119,418,28.5,71,9.1,170659,123493,125045,252.3,0,,126494
10/19/2025,Sunday,10,Semester,2542,300,25.2,53,14.9,137749,135736,133739,252.9,0,Sports_Event,137635
10/20/2025,Monday,10,Semester,4962,653,25.8,67,8.9,163666,176806,178916,355.1,0,,174981
10/21/2025,Tuesday,10,Semester,5144,516,29.4,59,4.3,83254,180808,182300,367.7,0,,181436
10/22/2025,Wednesday,10,Semester,4922,559,30.6,71,1.4,120658,177783,178892,356.9,0,,173009
10/23/2025,Thursday,10,Semester,5527,625,27,54,7.1,129060,189809,191697,391,0,,187256
10/24/2025,Friday,10,Semester,5189,598,30.1,33,0.4,160256,183716,184829,374.9,0,,183439
10/25/2025,Saturday,10,Semester,2231,383,27.1,25,3.3,120629,128412,126856,264.3,0,Festival,129194
10/26/2025,Sunday,10,Semester,2318,368,26.9,48,3.6,172452,125017,129368,251.9,0,,121724
10/27/2025,Monday,10,Semester,5310,539,26.1,40,8.9,117464,184551,188010,367.2,0,,183724
10/28/2025,Tuesday,10,Semester,4687,726,25,63,0.7,145130,178096,181675,365.1,0,,183800
10/29/2025,Wednesday,10,Semester,4752,497,23.3,62,15.2,82921,173106,175920,344.2,0,,171413
10/30/2025,Thursday,10,Semester,4690,686,30.3,59,3.1,152540,181703,186137,379.6,1,,177561
10/31/2025,Friday,10,Semester,4790,561,29.8,44,7.9,148937,173483,176547,355.4,0,,171013
11/1/2025,Saturday,11,Semester,2245,399,25.9,54,0.8,122080,126457,128178,253.8,0,,123779
11/2/2025,Sunday,11,Semester,3073,300,24.5,65,6.7,98626,143580,148506,283.7,0,,146226
11/3/2025,Monday,11,Semester,4930,681,25.1,47,0.7,177538,179260,181426,364.1,0,,180179
11/4/2025,Tuesday,11,Semester,5059,549,22.2,66,1.8,165908,180882,181013,355,0,,179936
11/5/2025,Wednesday,11,Semester,5092,671,23.5,46,2.6,120561,181138,181191,356.3,0,,184063
11/6/2025,Thursday,11,Semester,5053,626,25.4,46,1.6,130750,184263,183879,365.1,0,,183733
11/7/2025,Friday,11,Semester,4748,596,27.5,30,4.1,115951,177930,178703,344.3,0,Sports_Event,175046
11/8/2025,Saturday,11,Semester,2841,363,21.7,57,2.4,104356,137582,155811,325.7,0,,137581
11/9/2025,Sunday,11,Semester,2145,367,29.2,44,3.8,122598,124894,130726,256.3,0,,125384
11/10/2025,Monday,11,Semester,4638,496,24.6,66,0.1,141879,176328,178298,363.9,0,,172463
11/11/2025,Tuesday,11,Semester,5635,665,27.5,41,1.3,144968,189365,203326,413.1,0,,186799
11/12/2025,Wednesday,11,Semester,5492,542,28.1,52,1.1,169764,188754,204285,403.8,0,,188339
11/13/2025,Thursday,11,Semester,5031,449,25.1,45,12.2,78376,173795,189403,376.9,0,,169310
11/14/2025,Friday,11,Semester,4457,563,28.9,49,3.4,134443,170460,188226,375.8,0,,167471
11/15/2025,Saturday,11,Semester,2935,422,19.8,44,0.3,102056,135200,135939,277.3,0,,140612
11/16/2025,Sunday,11,Semester,2857,358,26.6,66,1.6,115901,137592,153404,294.2,0,,135584
11/17/2025,Monday,11,Semester,4970,613,28.9,41,0.2,160061,181168,183099,359.5,0,,182396
11/18/2025,Tuesday,11,Semester,5227,635,23.8,59,1.7,74702.5968,183020,185728,366.1,0,,182012
11/19/2025,Wednesday,11,Semester,5796,553,22.6,53,1.8,124141,193333,194892,378.2,0,Sports_Event,194397
11/20/2025,Thursday,11,Semester,5167,477,26.7,57,3.5,164613,184098,186958,378.1,0,Orientation,183853
11/21/2025,Friday,11,Semester,5908,691,25.4,42,1.7,165009,197676.2672,197670,396.4,0,,197447.75040000002
11/22/2025,Saturday,11,Semester,2258,334,23,50,0.1,98621,125302,123554,255.8,0,,124361
11/23/2025,Sunday,11,Semester,2505,303,28.2,73,4.2,143674,130839,135994,276.8,0,,129702
11/24/2025,Monday,11,Semester,4912,612,23.8,55,0.6,103484,177526,179722,367.3,0,,172261
11/25/2025,Tuesday,11,Semester,5461,730,23.2,28,1.1,132759,189322,189948,389,0,Festival,188504
11/26/2025,Wednesday,11,Semester,4914,659,22.7,60,1.3,178378,173969,174000,348.4,0,,174096
11/27/2025,Thursday,11,Semester,4799,510,24.8,54,0.4,115064,176819,177987,368.8,0,,177905
11/28/2025,Friday,11,Semester,5190,556,25.1,67,1,74702.5968,181848,183857,360,0,Festival,185920
11/29/2025,Saturday,11,Semester,2325,303,23.5,75,1.1,158567,120155,120384,242.9,0,,125394
11/30/2025,Sunday,11,Semester,2978,377,22,54,3,125990,132368,135018,281,0,,133150
12/1/2025,Monday,12,Vacation,2057,737,17.2,44,0.3,175237,118260,117971.9424,235.9,0,,114658.8704
12/2/2025,Tuesday,12,Vacation,2086,671,20.3,43,0.1,97519,125860,131040,269.7,0,,125989
12/3/2025,Wednesday,12,Vacation,1902,705,20.6,54,1.7,168969,122465,124681,256,0,,120385
12/4/2025,Thursday,12,Vacation,2129,554,17.3,66,0.6,163283,117892,120192,241,0,,114658.8704
12/5/2025,Friday,12,Vacation,2066,546,23.1,41,0,163423,126460,128298,264.6,0,,129608
12/6/2025,Saturday,12,Vacation,2101,311,22.5,48,0.3,124313,117776,134227,284.9,0,,117777
12/7/2025,Sunday,12,Vacation,2037,318,18.1,55,0.5,143992,117641,121147,236.7,0,,115176
12/8/2025,Monday,12,Vacation,1890,715,22.2,31,0.7,138786,122764,122094,237.5,0,,124674
12/9/2025,Tuesday,12,Vacation,2006,569,21.5,38,2.4,163535,120125,119862,230.5,0,,117650
12/10/2025,Wednesday,12,Vacation,1864,555,17.2,47,0.4,135318,118357,120991,243.2,0,,119267
12/11/2025,Thursday,12,Vacation,1914,453,20.4,67,0.1,154746,118367,120173,243.1,0,,120195
12/12/2025,Friday,12,Vacation,1858,608,20.8,55,1.1,151807,124205,125653,251.9,0,,123829
12/13/2025,Saturday,12,Vacation,1978,346,17.2,41,1.8,96383,117537,119673,253.8,0,,120725
12/14/2025,Sunday,12,Vacation,1985,371,22.1,57,0.5,156434,120926,123838,255.1,0,Sports_Event,120369
12/15/2025,Monday,12,Vacation,1912,736,17.7,36,2.8,154913,120479,120945,239.5,0,,121539
12/16/2025,Tuesday,12,Vacation,1988,505,16.7,47,0.6,76685,119107,122678,243.9,0,,118841
12/17/2025,Wednesday,12,Vacation,1930,756,15.9,27,1.5,142755,120732,121238,257.1,0,,122877
12/18/2025,Thursday,12,Vacation,2012,458,20.4,52,0.4,126948,116408.2352,117971.9424,230.05743999999999,0,,117330
12/19/2025,Friday,12,Vacation,2138,633,17.5,43,0.7,99162,116826,121009,248.5,0,,119958
12/20/2025,Saturday,12,Vacation,2110,322,15.1,46,2,181051,116408.2352,134105,270.8,0,,114821
12/21/2025,Sunday,12,Vacation,2080,382,20.6,45,1.9,137210,117422,117971.9424,230.4,0,,119926
12/22/2025,Monday,12,Vacation,1890,557,18.1,27,0.5,141788,123280,139827,263,0,,123064
12/23/2025,Tuesday,12,Vacation,1877,593,17.4,33,0.2,120380,121585,122248,247.1,0,,122037
12/24/2025,Wednesday,12,Vacation,1984,666,19,47,0,123983,127299,144401,287.5,0,,127829
12/25/2025,Thursday,12,Vacation,2050,538,16.5,28,0.8,142202,116813,118044,230.05743999999999,0,,118450
12/26/2025,Friday,12,Vacation,2117,540,21.1,36,0.5,132441,120265,122123,241.2,0,,119955
12/27/2025,Saturday,12,Vacation,1882,302,19,47,4,162869,116408.2352,119047,230.05743999999999,0,,118206
12/28/2025,Sunday,12,Vacation,1897,341,18.7,55,0.4,94425,118613,118986,230.2,0,,117837
12/29/2025,Monday,12,Vacation,1911,563,22.4,31,0.9,105370,126932,128200,260.7,0,Orientation,125620
12/30/2025,Tuesday,12,Vacation,2065,723,17.2,41,0.9,126217,120608,120532,237.4,0,,118634
12/31/2025,Wednesday,12,Vacation,2142,602,19.1,37,2.6,146568,119037,122542,246.1,0,,115561
